names,platforms,release_dates,meta_scores,game_descriptions,user_scores,ageRatings,gameDevs,gameGenres
Far Cry 4,Xbox One,"November 18, 2014",82,"Hidden in the towering Himalayas lies a country thick with tradition and violence. You assume the role of Ajay Ghale, returning to the country of your birth, the lush forests and harsh snow-capped summits of Kyrat, to fulfill your mother’s final wish of distributing her ashes. This vast and unpredictable country offers visitors opportunity and danger. You summarily find yourself caught up in a rebellion to subvert the oppressive regime of Pagan Min, a figure notorious as much for his sense of style and charisma as for his cruelty and naked brutality. Navigating the treacherous landscape, you find your fate increasingly determined by the choices you make because in Kyrat, and every second is a story. In Far Cry 4, you’ll conquer fortress outposts from the back of a six-ton elephant and take to the skies as you rain down explosives from your moving perch in the gyrocopter. The vertical landscape of the Himalayas isn’t just a gorgeous backdrop, but a playground that encourages the gamer to scrap, hunt and explore, grappling cliffs or launching into the air, plummeting to the valley below in a controlled free fall with your wing suit. You’ll carry with you a truly unique arsenal of weaponry that lets you play your way, whether it’s sniping, sneaking or all-out assault. When all else fails, animals can be your most important allies or your greatest peril, as Kyrat’s wilderness delivers on the promise of a true open world anecdote factory.",7.6,M,Ubisoft Montreal,"Action, Shooter, First-Person, Modern, Arcade"
Dauntless,Xbox One,"May 21, 2019",82,"Discover a shattered world, forge powerful weapons, and hunt the ferocious behemoths threatening our survival.",4.4,T,Phoenix Labs,"Role-Playing, Action RPG"
Madden NFL 18,Xbox One,"August 22, 2017",82,"Madden NFL 18 takes a significant visual leap with the power of the Frostbite engine. See stunning new stadium exteriors surrounded by vast cityscapes and watch the spectacle of NFL gameday come to life in the most photorealistic game to date. Play each matchup to your specifications by selecting from three new Play Styles or play the best real world match ups each week in Play Now Live! With the introduction of even more ways to play, coupled with your modes, Madden Ultimate Team and Franchise, this is Madden like you've never seen before.",4.4,E,EA Sports,"Sports, Team, Football, Sim"
Bulletstorm: Full Clip Edition,Xbox One,"April 7, 2017",82,"Step into the boots of Grayson Hunt after a crash landing on an abandoned resort planet forces him to make a hard choice: survival or revenge. An exiled member of the elite assassin group Dead Echo, Graysons blind desire for vengeance finds his crew stranded on Stygia where he can finally confront the commander behind his betrayalor get his team off the planet alive.

Battle your way through throngs of Stygias mutated inhabitants, performing masterful kills throughout the single-player campaignor one of 30 competitive score-challenge or 12 co-operative multiplayer mapsusing Bulletstorm: Full Clip Editions unique Skillshot system that rewards you for executing the most creative and deadly kills imaginable.

Bulletstorm: Full Clip edition is the definitive Bulletstorm experience that includes all existing Bulletstorm add-ons, plus brand-new content exclusive to Full Clip!",7.0,M,People Can Fly,"Action, Shooter, First-Person, Arcade"
eFootball PES 2020,Xbox One,"September 10, 2019",82,"Experience realism and authenticity in this year's definitive football game: PES 2020.  GAMEPLAY: New dynamic dribbling skills, new first touch techniques and finely-tuned ball physics, all developed in close consultation with renowned midfielder Andrés Iniesta. MATCHDAY: Pick a side and join forces with newcomers and veterans alike in a grand struggle for dominance in this new online competitive mode. MASTER LEAGUE: A completely revamped ML experience awaits — featuring a new interactive dialogue system, an overhauled menu design and a more realistic transfer market realized through improved data integration.",7.3,E,Konami,"Sports, Team, Soccer, Sim"
SNK 40th Anniversary Collection,Xbox One,"May 3, 2019",82,"2018 marks the 40th anniversary of legendary studio SNK! To celebrate this extraordinary milestone, a variety of classic arcade games from SNK's golden age are coming back together in one anthology on Nintendo Switch. SNK 40th Anniversary Collection is packed full of retro games and a treasure trove of features!

FEATURES:

* Collection of classics in your hands! Take a piece of SNK history with you wherever you go on Nintendo Switch. Choose from over a dozen titles and experience an intense blast from the past!

* Modern Meets Retro! Rewind and save at any time while you're playing, enjoy updated graphics at 1080p resolution, and experience redesigned control schemes for a modern feel!

* Enter the SNK Museum: A history of SNK and its games await in the Museum Mode. Explore the legacy of one of Japan's leading developers with high definition artwork and original promotional assets!",tbd,T,"Digital Eclipse, SNK","Miscellaneous, Compilation"
Geometry Wars 3: Dimensions,Xbox One,"November 26, 2014",82,"Over fifty single player levels including Adventure and Classic Arcade modes. 3D grids and over ten battle modes including Pacifism, King and Claustrophobia. Four distinct companion drones such as Attack, Collector, Ram and Snipe. Co-op and Online Competitive Multiplayer modes.",7.7,E,Lucid Games,"Action, Shooter, Static, Shoot-'Em-Up, Top-Down"
AVICII Invector,Xbox One,"December 10, 2019",82,"Soar through vocal melodies, sweep each fade and attack every beat in 25 of AVICII’s biggest hits, in this enthralling futuristic rhythm-action experience – AVICII Invector.",7.5,T,Wired Productions,"Action, Rhythm, Music"
RiME,Xbox One,"May 26, 2017",82,"The story of a boy who must use his wits and ingenuity to survive - and ultimately escape from - a mysterious island and a terrible curse.

An end, and a new beginning.

A strange island with a sinister secret, and an open-world adventure with a difference. As a boy who finds he is key to solving a series of ancient puzzles, you'll use an enigmatic artefact to manipulate your environment and even time itself.

Thanks to the innovative control offered by the DUALSHOCK 4 controller, you'll find that light, sound and touch are all essential in your bid to escape the island.",7.4,E10+,Tequila Works,"Action, Adventure, General, 3D, Third-Person"
Tales From The Borderlands: Episode 1 - Zer0 Sum,Xbox One,"November 26, 2014",82,"Set following the events seen in Borderlands 2, Tales from the Borderlands focuses on Rhys, a Hyperion company man who wants to become the next Handsome Jack, and it’s also about Fiona, a Pandoran con artist intending to score the biggest of all swindles. Baited into danger by a Vault key and all it promises, the unlikely pair are thrown together with a common purpose and a great amount of mistrust. Who is speaking the truth, and why is it important? That is for you to decide. It’s important to remember that there *are* two sides to every story, and you will tell this tale, or…tales, through the choices that you make. Your every decision as both Rhys and Fiona will affect the people and environment around you: this is a game where YOU are the final author in a brand new Borderlands story set on the unforgiving world of Pandora. [Telltale Games]",8.2,M,Telltale Games,"Miscellaneous, General, Adventure, General"
Gears of War: Ultimate Edition,Xbox One,"August 25, 2015",82,"The shooter has been remastered in 1080P and modernized for Xbox One, and is augmented with new content including five campaign chapters never released on Xbox.",7.6,M,"Splash Damage, The Coalition","Action, Shooter, Third-Person, Arcade"
Super Hydorah,Xbox One,"September 20, 2017",82,"Super Hydorah is a nonlinear horizontal shoot em up designed to offer a challenging and memorable experience, sublimating the wisdom and richness of traditional shmup classics. The game has direct action, nostalgic art and a wide variety of unique spatial content and situations. It is hours of intense fun, alone or with your friends, to face the menace of the Meroptians aboard the Delta Lance.",6.9,T,Locomalito,"Action, Shooter, Shoot-'Em-Up, Horizontal"
Streets of Rage 4,Xbox One,"April 30, 2020",82,"Publisher Dotemu (Wonder Boy, Windjammers 1/2) and developers Lizardcube (Wonder Boy) and Guard Crush Games today revealed Streets of Rage 4, an all-new continuation of SEGA's iconic arcade brawler series known for its radical fights, jammin' '90s beats and dashing sparring gloves and bandanas. 

Streets of Rage, known as Bare Knuckle (Bea Nakkuru) in Japan, is a trilogy of beat 'em up games developed and published by SEGA in the 1990s.

Famously known for its non stop action and electronic dance influenced music - scored by Yuzo Koshiro and Motohiro Kawashima - the series has gained the status of cult classic throughout the years. It is considered one of the best beat 'em up series of all time. After many years, Axel and Blaze are finally picking up the fight where they left.

Featuring hand-drawn visuals from the team behind 2017's gorgeous Wonder Boy: The Dragon's Trap remake, Streets of Rage 4 builds upon the classic trilogy's gameplay with new mechanics, a fresh story and a gauntlet of dangerous stages with a serious crime problem. Streets of Rage 4 recalls classic gameplay but it stands as an entirely original arcade-style romp thanks to the expertise of Guard Crush Games and Dotemu.

Whether players gang up with a friend or clean up the city solo, Streets of Rage 4 is a skull-bashing, chicken-chomping delight all set to a thumping soundtrack sure to get your blood pumping. 

Features:

* The comeback of the legendary Streets of Rage series.
* Beautiful graphics fully hand-drawn animated by the studio behind Wonder Boy: The Dragon's Trap.
* Classic gameplay enhanced with brand new mechanics.
* Soundtrack by a wide line-up of world-class musicians.
* Braised chicken served on a pristine plate.",7.7,T,Lizardcube,"Action, Beat-'Em-Up, 2D"
The Sexy Brutale,Xbox One,"April 11, 2017",82,"The Sexy Brutale — a never-ending masked ball featuring intrigue, murder and the (quite possibly) occult! Relive the same mysterious day where the guests at the casino mansion are being murdered by the staff over and over again.",7.1,T,"Abstraction Games, Tequila Works, Cavalier Game Studios","Adventure, General"
Child of Light,Xbox One,"April 30, 2014",82,"Child of Light is a digital download, 2D side-scrolling role-playing game inspired by the art style of Studio Ghibli.",7.7,E10+,Ubisoft Montreal,"Action, General, General, Role-Playing, General"
Shadow of the Tomb Raider,Xbox One,"September 12, 2018",82,"Experience Lara Croft's defining moment as she becomes the Tomb Raider. In Shadow of the Tomb Raider, Lara must master a deadly jungle, overcome terrifying tombs, and persevere through her darkest hour. As she races to save the world from a Maya apocalypse, Lara will ultimately be forged into the Tomb Raider she is destined to be.

FEATURES:

* Survive and Thrive In the Deadliest Place on Earth: Master an unforgiving jungle setting in order to survive. Explore underwater environments filled with crevasses and deep tunnel systems.

* Become One With the Jungle: Outgunned and outnumbered, Lara must use the jungle to her advantage. Strike suddenly and disappear like a jaguar, use mud as camouflage, and instill fear in enemies to sow chaos.

* Discover Dark and Brutal Tombs: Tombs are more terrifying than ever before, requiring advanced traversal techniques to reach them, and once inside they are filled with deadly puzzles.

* Uncover Living History: Discover a hidden city and explore the biggest hub space ever found in a Tomb Raider game.",7.3,M,Eidos Montreal,"Action Adventure, General"
Forza Horizon 2: Storm Island,Xbox One,"December 16, 2014",82,"The Storm Island expansion brings more beauty, more challenge, and more ways to compete with and against opponents.",7.5,E10+,Playground Games,"Driving, GT / Street, Racing, Simulation, Automobile"
SOMA,Xbox One,"December 1, 2017",82,"Strange occurrences are disrupting the routines of the PATHOS-2 research facility. The radio is silent. Behavioral anomalies of the machines are increasingly dangerous, if not... malevolent. The facility is devolving into chaos. No weapons, and the only escape is practically unthinkable.

From Frictional Games, creators of the groundbreaking Amnesia and Penumbra series, SOMA is an aberrant tale of scientific inquiry and survival; an entropic exploration of synapse and circuit that wades through the delusions of human consciousness.",8.2,M,Frictional Games,"Action Adventure, Survival"
Stealth Inc 2: A Game of Clones,Xbox One,"April 3, 2015",82,"In Stealth Inc 2, you play the role of a clone escaping a sinister and high-tech testing facility. Stealth Inc 2 tests both your brain and your reflexes over 60 varied levels linked together in a sprawling overworld. Death is never more than a few moments away, but one of the few advantages of being a clone is that death isn't all that permanent. With no loading screens and no lives to worry about, players are encouraged to use their inevitable demise as a learning tool as they navigate lasers, homicidal robots and terrifying bosses in the ultimate hostile work environment.",6.9,T,Curve Digital,"Action, Platformer, 2D"
Blazing Chrome,Xbox One,"July 11, 2019",82,"In Blazing Chrome, bring your best pal and kick some metal butts to free the humankind while enjoying a classic run’n’gun, fully loaded with action and exciting fights.",7.7,T,JoyMasher,"Action, Platformer, 2D"
NHL 19,Xbox One,"September 11, 2018",82,"Play on outdoor rinks and journey from the ponds to the pros in new game modes. Compete with and against 200 of the greatest hockey legends to ever hit the ice, highlighted by Wayne Gretzky. Powered by cutting-edge new gameplay technology, experience explosive-edge skating that delivers more acceleration, speed and responsiveness.",6.1,E10+,EA Sports,"Sports, Team, Ice Hockey, Sim"
Lovers in a Dangerous Spacetime,Xbox One,"September 9, 2015",82,"Lovers in a Dangerous Spacetime is a 2-player co-op micro-platformer set inside a neon spaceship locked in battle with hordes of space baddies. Players work together running back and forth between ship control rooms, manning turrets, lasers, shields and thrusters to rack up points and stave off a vacuumy demise. In mish-mash terms you could describe it as Jumpman meets Asteroids meets Han saying ""Don't get cocky.""",7.2,E10+,Asteroid Base,"Platformer, 2D, Action, Shooter, Shoot-'Em-Up, Horizontal"
Tom Clancy's The Division 2,Xbox One,"March 12, 2019",82,"Set in Washington D.C., the game takes place 7 months after a deadly virus was released in New York City and the nation has become a shell of its former self. While the virus has been contained, its effects are most evident in the devastated streets of the nation's capital where survivors cling to hope and struggle to rebuild. Enter The Division, a unit of civilian sleeper agents who now must work to stop enemy factions from completely taking over the city – and ultimately, the nation. As a universally-regarded seat of power, if D.C. falls, the nation falls. With civilians helpless and fearing for their lives, players will be the last line of defense in preventing the total collapse of society. [Ubisoft]",5.8,M,Massive Entertainment,"First-Person, Action, Shooter, Third-Person, Tactical"
Borderlands 3,Xbox One,"September 13, 2019",82,"At the hard edge of the galaxy lies a group of planets ruthlessly exploited by militarized corporations. Brimming with loot and violence, this is your home – the Borderlands. Answering the call of the Siren champion Lilith, four Vault Hunters charge head-first into a spray of bullets, blood, and bandits to recover a map to ancient Vaults and prevent a universe-destroying power from falling into the wrong hands. The rest is history. Fearless renegade mercenaries on the wildest interplanetary treasure hunt of all time. FL4K is a wandering robotic tracker whose cold steel heart warms only for their pet beasts. Amara beats bad guys into pancakes with her psychic fists. Moze’s best friend is a 10-ton walking killing machine. And Zane, the semi-retired corporate hitman... well, he’s Zane.  Hunting Alone? No problem! Shoot and loot your way through the Borderlands, discovering the region’s untold stories and piling high your increasingly deadly cache of goodies and weapons. [2K Games]",5.3,M,Gearbox Software,"Action, Shooter, First-Person, Arcade"
Blasphemous,Xbox One,"September 10, 2019",82,"Blasphemous is a punishing action-platformer that combines the fast-paced, skilled combat of a hack-n-slash game with a deep and evocative narrative core, delivered through exploration of a huge universe comprised of non-linear levels.",8.0,M,The Game Kitchen,"Action Adventure, Open-World"
FIFA 15,Xbox One,"September 23, 2014",82,"New to this year's installment, players have memories and will show emotion based on the context of the match. With over 600 new emotional reactions, players now respond to pivotal moments on the pitch – bad tackles, missed chances, epic goals - as they would in real life.  Refined commentary highlights unique fan reactions, while chants and behaviors will be relevant to country or even your club. New bench reactions, side line character animations, 10-man goal celebrations, and more will strive to keep you engaged in the story of the match. Your teammates and opponents now recognize what’s happening in the match and will adjust their tactics just like real players.",5.4,E,EA Sports,"Sports, Traditional, Team, Soccer, Sim"
Prey: Mooncrash,Xbox One,"June 10, 2018",82,"Fight overwhelming odds to escape a secret TranStar moon base where the enemies you encounter, the hazards you face, the goals you complete, and the loot you collect are different each time you play. With changing environments as dangerous as they are dynamic, the Mooncrash campaign for Prey will offer a fun, infinitely replayable challenge to test even the most skilled players.
Story:
In Prey: Mooncrash, TranStar's secret moon base stopped transmitting shortly after the events of Prey. Now Peter, a hacker stationed aboard a spy satellite tasked with intercepting TranStar communications, must find out why. Trapped and under a ruthless contract with KASMA Corp, Peter's only hope of ever seeing his family again is uncovering the moon base's lost secrets.

Features:

Live. Die. Adapt. Escape!
Escape TranStar's moon base before the Typhon threat takes over. A simple goal, but one with hundreds of viable solutions. In Mooncrash, players will experience an all-new, infinitely replayable, 'rogue-lite' campaign with ever-changing enemies, weapons and objectives against a constantly increasing alien threat. 

Survive How You Want with Who You Want
Unlock multiple characters as you play, each with their own set of specialized, upgradable skills. Will you forge your path with the resourceful engineer Joan, trade that wrench in for Security Officer Bhatia and his shotgun, or will you choose the frail-but-gifted Andrius and his arsenal of psychic abilities? Prey is about choices, and those choices belong to you. 

Search for Secrets, Lootand a Way Off
Arkane Studios' talent for detail and story-rich environments comes alive in Mooncrash. As you explore the station, which is the same size and scope of four levels of the original game's Talos I station, don't forget to keep your eyes peeled for precious supplies and, of course, Mimics.

New Challenges, New Solutions
The Typhon threat has returned with familiar foes and tough new enemies, each armed with a unique set of deadly characteristics. Use the full power of the arsenal at your disposal, including popular weapons and abilities from Prey's main game, to fight for your life and make a mad dash for your escape. 

Prey: Typhon Hunter
Mooncrash includes Prey: Typhon Hunter, an online multiplayer update. Typhon Hunter is a lethal game of hide-and-seek between a single survivor (Morgan Yu) and five other players who stalk, hunt, and hide in plain sight as shape-shifting Mimic aliens. Every object is a potential enemy. Will Morgan or the Mimics prevail?

TranStar VR is a single player VR-only campaign included in the Typhon Hunter update. This campaign puts you in the shoes of various TranStar employees as you complete objectives and solve intricate puzzles on Talos I, just days before the events of Prey.

Requires the Prey full game.",6.7,,Arkane Studios,"Action, Shooter, First-Person, Arcade"
Operencia: The Stolen Sun,Xbox One,"March 29, 2019",82,"Zen Studios’ modern homage to classic first-person dungeon-crawlers takes you to the land of Operencia, an unconventional fantasy world inspired by a faraway land referenced in countless Central European folktales.",7.1,T,Zen Studios,"Role-Playing, Action RPG"
Cities: Skylines - Xbox One Edition,Xbox One,"April 21, 2017",81,"Developed by Colossal Order, Cities: Skylines offers sprawling landscapes and maps with endless sandbox gameplay and new ways to expand your city. Key to progression is the ability to influence your city’s policy by incorporating taxation into districts. All this including the ability to mod the game to suit your play style makes this the definitive city building simulation.",6.3,E,Tantalus,"Strategy, Management, Government"
Awesomenauts Assemble!,Xbox One,"September 7, 2016",81,"The game features the most awesome mercenaries in the galaxy in their fight for territorial supremacy. Awesomenauts brings Russian monkeys with jetpacks, giant robots, and lots of other mighty aliens to the two-dimensional console battlefield. Combining classic platforming-action with modern online multiplayer functionality, the action-packed gameplay offers everything the 16-bit generation and modern gamers love.",7.2,T,"Abstraction Games, Ronimo Games","Strategy, Real-Time, MOBA"
Project CARS,Xbox One,"May 12, 2015",81,"Create a driver, pick from a variety of motorsports, and shift into high gear to chase a number of Historic Goals and ultimate recognition in the Hall Of Fame. Then test your skills online either in competitive fully-loaded race weekends, leaderboard-based time challenges, or continually-updated community events.",5.7,E,Slightly Mad Studios,"Driving, Racing, Simulation, General, Automobile"
Valiant Hearts: The Great War,Xbox One,"June 25, 2014",81,"The story of crossed destinies and a broken love in a world torn apart. All of them will try to survive the horror of the trenches following their faithful canine companion. In Valiant Hearts: The Great War, the lives of all these characters are inextricably drawn together over the course of the game. Friendship, love, sacrifice, and tragedy befall each one as they help each other to retain their humanity against the horrors of war.",8.1,T,Ubisoft Montpellier,"Platformer, 2D, Action, Platformer, 2D"
Maldita Castilla EX: Cursed Castilla,Xbox One,"July 20, 2016",81,"The tears of a young witch have been turned by a demon into a key that opens up a gateway for the evil in this world. The King Alfonso VI of León has assembled his loyal knights to get to Tolomera del Rey and finish the nightmare using the power of the Witch’s tears. Banish the zombies and demons that entered the Kingdom of Castile with Don Ramiro, the loyal King’s Knight, and his friends. For that, you will use a different range of weapons to defeat your enemies through the cursed lands of Tolomera, in a pure classic arcade action style. [Xbox.com]",7.8,T,Locomalito,"Action, Platformer, 2D"
Remnant: From the Ashes,Xbox One,"August 20, 2019",81,"The world has been thrown into chaos by an ancient evil from another dimension. As one of the last remnants of humanity, you must set out alone or alongside up to two other survivors to face down hordes of deadly enemies to try to carve a foothold, rebuild, and retake what was lost.",7.3,M,Gunfire Games,"Action, Shooter, Third-Person, Arcade"
Wargroove,Xbox One,"February 1, 2019",81,"Take to the battlefield with Wargroove, a strategy game for up to 4 players. Choose your Commander and wage turn-based war on battling factions. Design and share maps, cut-scenes and campaigns with easy-to-use editors and in-depth customization tools.",5.4,E10+,Chucklefish,"General, Strategy, Turn-Based, Tactics"
Aragami: Shadow Edition,Xbox One,"June 5, 2018",81,"You are Aragami, a vengeful spirit with the power to control the shadows. You've been summoned by Yamiko, a girl imprisoned in the city fortress of Kyuryu. Embark on a dark journey full of blood and secrets to discover the truth. Infiltrate the occupied city of Kyuryu with your supernatural powers and fight Light with Shadow.",5.3,M,Lince Works,"Action Adventure, General"
Ys Origin,Xbox One,"April 11, 2018",81,"700 years before the events of Ys I & II, the land of Ys was on the brink of destruction. Demons came in droves and forced the twin Goddesses who ruled the land to whisk their subjects away from the surface, into the safe embrace of the clouds. The demons were persistent, however, erecting a massive tower in pursuit. The battle that raged upon the ground had begun ascending for a second round up above.",7.2,T,Falcom,"Role-Playing, Action RPG"
Sniper Elite 4,Xbox One,"February 14, 2017",81,"Welcome to Italy, 1943.

Set in the aftermath of its award-winning predecessor, Sniper Elite 4 continues the series World War Two heritage by transporting players across the beautiful Italian peninsula, from sun-drenched Mediterranean coastal towns, to colossal Nazi mega structures, daunting forests and giddying mountain monasteries inspired by Monte Cassino.

Covert agent and elite marksman Karl Fairburne must fight alongside the brave men and women of the Italian Resistance to help free their country from the yoke of Fascism, and defeat a terrifying new threat with the potential to halt the Allied fightback in Europe before its even begun.

If his mission fails, there will be no Operation Overlord, no D-Day landings, and no Victory in Europe.",7.3,M,Rebellion,"Action, Shooter, First-Person, Tactical"
Lumines Remastered,Xbox One,"June 26, 2018",81,"LUMINES REMASTERED is an HD remake of the original Lumines that debuted in 2004 on the PSP. Earning high praise and awards, it remained the top-rated title on the platform for four years and continued on to establish an action-puzzle series loved by millions of players. LUMINES REMASTERED beautifully marries the elements of sound, light and puzzle-action into one addictive, yet easy-to-play game. You’re at the center of the high-energy, block-dropping action while you groove to awesome house, trance and techno beats.",tbd,E10+,Enhance Games,"Puzzle, Matching"
Halo Wars: Definitive Edition,Xbox One,"February 21, 2017",81,Set early in the iconic war between the Covenant and UNSC - made famous by the Halo FPS games - Halo Wars: Definitive Edition provides a unique angle on the war while bringing new heroes to the battlefield. Control large Halo armies and direct them in action-packed warfare.,7.6,T,"Microsoft Game Studios, Microsoft","Strategy, Real-Time, General"
Subnautica,Xbox One,"December 4, 2018",81,"Descend into the depths of an alien underwater world filled with resources, creatures, wonder and threats. Craft equipment and submarines to explore lush coral reefs, volcanoes, cave systems, and more – all while trying to survive. [Xbox.com]",8.0,E10+,Unknown Worlds Entertainment,"Adventure, General"
SnowRunner,Xbox One,"April 28, 2020",81,"SnowRunner puts you in the driver's seat of powerful vehicles as you conquer extreme open environments with the most advanced terrain simulation ever. Drive 40 vehicles from brands such as Ford, Chevrolet, and Freightliner as you leave your mark on an untamed open world.
Overcome mud, torrential waters, snow, and frozen lakes while taking on perilous contracts and missions. Expand and customize your fleet with many upgrades and accessories including an exhaust snorkel for heavy waters or chain tires to battle the snow.",7.2,E,Saber Interactive,"Racing, Arcade, Automobile"
Middle-earth: Shadow of War,Xbox One,"October 10, 2017",81,"Experience an epic open world brought to life by the Nemesis System. Forge a new Ring of Power, conquer Fortresses in massive battles and dominate Mordor with your personal orc army in Middle-earth: Shadow of War. Go behind enemy lines to forge your army, conquer Fortresses and dominate Mordor from within. Experience how the award-winning Nemesis System creates unique personal stories with every enemy and follower, and confront the full power of the Dark Lord Sauron and his Ringwraiths in this epic new story of Middle-earth. In Middle-earth: Shadow of War, nothing will be forgotten.",4.1,M,Monolith Productions,"Action Adventure, Open-World"
Laser League,Xbox One,"May 10, 2018",81,"Blink and you are dead! LASER LEAGUE is the new last-word in high-speed, future-sports team action. Battle against the opposition for control of nodes that bathe the arena in deadly light. Evade rival coloured beams, and fry your opponents with speed, strength and strategy.",7.3,E10+,roll7,"Sports, Team, Futuristic"
Watch Dogs 2,Xbox One,"November 15, 2016",81,"Check out the birthplace of the tech revolution as Marcus Holloway, a brilliant young hacker who has fallen victim to ctOS 2.0's predictive algorithms and accused of a crime he did not commit. In Marcus' mission to shut down ctOS 2.0 for good, hacking is his ultimate weapon.  Players not only can hack into the San Francisco Bay Area's infrastructure, but also into every person and any connected device they possess to trigger unpredictable chains of events in this vast open world.",7.3,M,Ubisoft Montreal,"Action Adventure, Open-World"
Call of Duty: Advanced Warfare,Xbox One,"November 3, 2014",81,"Call of Duty: Advanced Warfare predicts the powerful battlegrounds of the future, where both technology and tactics have taken steps to usher in a new era of combat for the franchise. Kevin Spacey is Jonathan Irons -- one of the most notorious men in the world -- shaping this chilling vision of the future of war. The game unfolds in a plausible future in which technological, telesis and today's military practices have converged with real world consequences. In this image of the future, Private Military Corporations have become the dominant armed forces for many countries who must outsource their military needs, redrawing borders and rewriting international law.  Irons, the founder and president of the world's largest PMC, Atlas Corporation, is at the vortex of these tectonic plates.

Suit up for combat in exoskeletons that advance every facet of a soldier's battle readiness, enabling combatants to deploy with an advanced lethality and eliminating the need for specialization. Players tout enhanced player movement and verticality through boost jumps and grappling, covert cloaking abilities, and biomechanics that provide keen strength, awareness, endurance, and speed. With the advent of the exoskeleton and newly advanced armor and weaponry, every soldier commands tactical freedom in any terrain unlike ever before.",5.5,M,Sledgehammer Games,"Action, Shooter, First-Person, Modern, Arcade"
Madden NFL 19,Xbox One,"August 10, 2018",81,"Gameplay in Madden NFL 19 was developed with two primary objectives: 1. Player Control across the field; 2.Immersive NFL Experience from start to finish. To achieve these objectives, EA's goal is to deliver the most significant animation upgrade in Madden history. Madden NFL 19 introduces a package of features known as Real Player Motion – featuring authentic player movement, more player control and responsiveness, and player signature behaviors that will immerse players into the NFL each and every game. [Electronic Arts]",3.0,E,EA Tiburon,"Sports, Team, Football, Sim"
Kalimba,Xbox One,"December 17, 2014",81,Kalimba plays in solid 60 fps full HD. It feels both retro and new at the same time and its puzzle design and twitch gameplay present challenge for the experienced gamer.,7.4,E,Press Play,"Action, General"
Stellaris: Console Edition,Xbox One,"February 26, 2019",81,"Featuring deep strategic gameplay, an enormous selection of alien races and emergent storytelling, Stellaris has a deeply challenging system that rewards interstellar exploration as you traverse, discover, interact and learn more about the multitude of species you will encounter during your travels.

Etch your name across the cosmos by uncovering remote celestial outposts,and entire civilizations. Will you expand through war or walk the path of diplomacy to achieve your goals?",7.0,E10+,Paradox Development Studio,"Strategy, Real-Time, General"
Call of Duty: Black Ops III,Xbox One,"November 6, 2015",81,"In Black Ops 3, Treyarch introduces a new momentum-based chained-movement system which enables players to fluidly move through the environment with finesse, using controlled thrust jumps, slides, wall runs and mantling abilities in a myriad of combinations, all while continuously keeping full control over their weapon. Maps are designed from the ground-up for the new movement system, enabling players to be successful with traditional movement, as well as with advanced tactics and maneuvers.",4.6,M,Treyarch,"Action, Shooter, First-Person, Arcade"
Super Mega Baseball 2,Xbox One,"May 1, 2018",81,"The  makers  of Super  Mega  Baseball have  returned  with  a brand new, streamlined baseball simulator that’ll keep you coming  back for  more.  Build  your  dream  team  and  challenge your  opponents  to  a  good  old-fashioned  game  of  hardball, online and off.",7.1,E,Metalhead Software,"Sports, Team, Baseball, Arcade"
World of Final Fantasy Maxima,Xbox One,"November 6, 2018",81,"POWERED UP AND REBORN!

Expanding the horizons of FINAL FANTASY! A tale of many encounters and the birth of a new world.

Originally released in October 2016, WORLD OF FINAL FANTASY has just been powered up and reborn as WORLD OF FINAL FANTASY Maxima! New characters from FF lore (Champions) and monsters (Mirages) add even more fun and excitement to this unique adventure. This new and enhanced version of WORLD OF FINAL FANTASY also features the Avatar Change system, which allows the protagonists, Reynn and Lann, to fight as Champions. Fight your way through exhilarating battles as legendary FINAL FANTASY heroes!",7.8,E10+,Square Enix,"Role-Playing, Japanese-Style"
Tekken 7,Xbox One,"June 2, 2017",81,"Love, Revenge, Pride. Each one of us has a reason to fight. Values are what define us and make us human, regardless of our strengths or weaknesses. There are no wrong motives, just the paths we choose to take. Experience the conclusion of the Mishima clan and unravel the reasons behind each step of their ceaseless fight. Powered by Unreal Engine 4, Tekken 7 features story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals alike through innovative fight mechanics.",6.4,T,Bandai Namco Games,"Action, Fighting, 3D"
Star Wars Jedi: Fallen Order,Xbox One,"November 15, 2019",81,"A third-person action-adventure Star Wars title from Respawn Entertainment. The Empire seeks to eradicate all Jedi after the execution of Order 66. You, a Jedi Padawan-turned-fugitive, must fight for your survival as you explore the mysteries of a long-extinct civilization in hopes of rebuilding the Jedi Order. After narrowly escaping the Jedi purge, you’re on a quest to rebuild your fallen Order. Pick up the pieces of your shattered past and complete your Jedi training, all while staying one step ahead of the Empire and its deadly Inquisitors. Utilize your Jedi training to overcome your opponents and solve the mysteries that lay in your path. Use the Force to augment the way you explore, allowing you to traverse new paths and discover parts of locations you’ve been to before. Move quickly, though. The Empire is on your trail and won’t stop until every Jedi is exterminated. [Electronic Arts]",8.2,T,Respawn Entertainment,"Action, Action Adventure, General"
The Gardens Between,Xbox One,"November 29, 2018",81,"Manipulate the flow of time to solve mind-bending puzzles while following best friends Arina and Frendt. Move time forward and backward, revisiting shared precious childhood memories scattered amongst surreal garden islands.",6.4,,The Voxel Agents,"Adventure, General"
Life is Strange: Before the Storm - Episode 3: Hell is Empty,Xbox One,"December 20, 2017",81,-,7.7,M,Deck Nine Games,"Action Adventure, General"
