names,platforms,release_dates,meta_scores,game_descriptions,user_scores,ageRatings,gameDevs,gameGenres
NieR: Automata - 3C3C1D119440927,PlayStation 4,"May 2, 2017",79,"This DLC pack adDS “Revealing Outfit” costume for 2B, “Young Man’s Outfit” costume for 9S and “Destroyer’s Outfit” costume for A2. AfteR completing new sub quests in this DLC, you CAn enJOy playing the game while wearing these costumes from NieR Replicant. Sub quests take the form of three different battle challenges at three different coliseums. Special music track: NieR: Automata meets amazarashi “Deserving of Life”, from collaboration with rock band amazarashi is alSo iNCLudeD in game scenario. We woULD bE delighted to see yOu hAVinG fuN with this content.",7.5,M,PlatinumGames,"Role-Playing, Action RPG"
Zen Pinball 2: Bethesda Pinball,PlayStation 4,"December 6, 2016",79,,tbd,,Zen Studios,"Action, Pinball"
King's Quest Chapter 3: Once Upon a Climb,PlayStation 4,"April 26, 2016",79,"Continuing Sierra and The Odd Gentlemen’s modern reimagining of the classic adventure game series, Once Upon A Climb focuses on King Graham’s quest to rescue his future bride—Queen Valanice—from the wicked witch Hagatha’s tower.",7.1,E10+,The Odd Gentlemen,"Adventure, General"
Pro Evolution Soccer 2019,PlayStation 4,"August 28, 2018",79,"Improved negotiation system and budget management. Added a re-sell and clean sheet options, so that strategy is needed not only on the field, but also with club management. Enjoy playing the newly added licensed leagues in Master League. All league regulations have been implemented, such as the Split System from the Scottish Premiership.",6.4,E,Konami,"Sports, Team, Soccer, Sim"
Naruto Shippuden: Ultimate Ninja Storm 4,PlayStation 4,"February 9, 2016",79,"Recreate all the legendary teams from NARUTO SHIPPUDEN or create your own team. Players will be able to switch characters during the fight.  The roster spans the NARUTO SHIPPUDEN story arc and capture the latest character appearances from the anime. Almighty foes such as Kaguya, Madara (Six Paths) & Obito (Six Paths) join the fray.",8.1,T,CyberConnect2,"Action, Fighting, 3D"
Fire Pro Wrestling World,PlayStation 4,"August 28, 2018",79,"Game modes include Deathmatch (steel cage, barbed wire, or landmines), MMA rules, no-holds barred gruesome fighting, and SWA homebrew rules that mix pro wrestling and MMA. Create your dream wrestler from over a thousand devastating moves, and even more body parts, to battle for custom championship belts. Personalize the ring, mat logos, and even the referee.",7.5,T,"Spike Chunsoft, ZEX corporation","Sports, Individual, Combat, Wrestling"
Call of Duty: Warzone,PlayStation 4,"March 10, 2020",79,"Welcome to Warzone – a new combat experience where up to 150 players take the role of a veteran Tier 1 Operator and drop in to the dense and sprawling world of Verdansk. Warzone is  packed with non-stop action that’s free-to-play and free-for-everyone. You do not need to own the full version of Call of Duty: Modern Warfare to download, play and enjoy Warzone. In Battle Royale, fight to be the last squad standing while escaping the deadly gas in the swiftly closing circle with up to 150 players. In Plunder, the race is on to collect the most in-match Cash by looting across the map, taking down enemies to steal their Cash, and completing in-match Contracts. Warzone takes place in Verdansk, an expansive city with multiple named zones and well over 300 points of interest. Each zone features distinct landmarks like the Gorengard Lumber Yard or the Gora Dam; the zones take place across different environment types like cities and rural areas for unique engagements. Change up your drop location in each match to get a better lay of the land and take advantage of what Verdansk has to offer. If you need to get somewhere fast in Warzone, the best method is a vehicle. There are five vehicles all with varying levels of protection, speed, seating, and off-roading capability. Each vehicle has a health meter and when it reaches zero, the vehicle explodes and flames out. Needlessly to say, if the health of your vehicle is depleting, bail out before the impending explosion. [Activision]",4.4,M,Infinity Ward,"Action, Shooter, First-Person, Tactical"
Rock of Ages 2: Bigger & Boulder,PlayStation 4,"August 28, 2017",79,"The rock-racing, tower defense, art history game is back. Like the title says, Bigger and Boulder cranks up the surrealism and gameplay with chaotic two-on-two multiplayer, new time periods, and improved graphics, physics, and destructibility.",7.3,E10+,ACE Team,"Action, General"
Shooty Fruity,PlayStation 4,"December 19, 2017",79,,6.6,E10+,nDreams,"Action, Shooter, Light Gun"
ECHO,PlayStation 4,"October 10, 2017",79,"After a century in stasis the girl En arrives at her destination: a palace out of legend, a marvel of the old civilization eons gone, still awaiting its first human occupants. Out here, using forgotten technologies, she hopes to bring back a life that shouldn’t have been lost.",7.2,M,Ultra Ultra,"Action Adventure, General"
SMITE,PlayStation 4,"March 24, 2016",79,"Players choose from a selection of mythical gods, join session-based arena combat, and use custom powers and team tactics against other player-controlled gods and non-player controlled minions.",6.8,T,Hi-Rez Studios,"Strategy, Real-Time, MOBA"
Driveclub Bikes,PlayStation 4,"October 27, 2015",79,"Create events from scratch to ride day or night, and play with the fully customizable weather conditions to make every event unique. Race the worlds best superbikes from Yamaha, Ducati, Kawasaki, Honda, Bimota, BMW and more. 78 tracks in locations from Canada, Chile, Japan, Norway, Scotland & India. Form a Club with your mates and race online in challenges & multiplayer matches to earn big rewards. Go it alone in the offline Tour campaign with 42 events including Races, Time Trials, Skill challenges & Championship events. Send challenges to your friends & rivals to compete for glory. Customize your bikes & racing leathers. Choose from simulation or arcade camera views: first person rider, handlebar, dash, front wheel, near chase & far chase",7.4,E,Evolution Studios,"Racing, Simulation, Automobile"
Nioh: Defiant Honor,PlayStation 4,"July 25, 2017",79,"Defiant Honor takes us to Osaka Castle, the largest and most impregnable castle of Sengoku era. This add-on features the legendary warrior Sanada Yukimura, serving Tokugawa Ieyasu’s archenemy Toyotomi clan, who values honor above all else. As tensions brew between the Tokugawa and Toyotomi clans, Sanada Yukimura prepares his men for imminent conflict against the Tokugawa’s forces by building a stronghold called the Sanada Maru on the outskirts of the Osaka Castle. With the castle fortified, Tokugawa’s forces were faced with a difficult and bloody challenge. In the midst of this chaos, our hero William, accompanied by Date Masamune who fights alongside Tokugawa, heads towards Sanada Maru in pursuit of Maria. It is a bitter winter in Osaka and the stage is ripe for a fierce battle for the ages. Bundle up and get ready for a brutal winter showdown. [Team Ninja]",6.8,M,Team Ninja,"Role-Playing, Action RPG"
The King of Fighters XIV,PlayStation 4,"August 23, 2016",79,"King of Fighters returns with a roster of 50 characters. Besides the returning fan favorites, numerous new combatants join the roster. Nakoruru, one of the heroines from the Samurai Shodown series, joins the fight along with her fellow hawk companion Mamahaha. Shun’ei is a new character who plays an important role in the game’s story.
Plus, numerous emblematic and original characters prepare to duke it out in the KOF tournament.",8.2,T,"SNK Playmore, SNK Corporation","Action, Fighting, 2D"
Tales of Berseria,PlayStation 4,"January 24, 2017",79,"Players set out on a journey of self-discovery as they assume the role of Velvet, a young woman whose once kind demeanor has been replaced and overcome with a festering anger and hatred after a traumatic experience three years prior to the events within TALES OF BERSERIA. Velvet will join a crew of pirates as they sail across the sea and visit the many islands that make up the sacred kingdom of Midgand in an all-new adventure developed by the celebrated team behind the TALES OF series.",7.0,T,Bandai Namco Games,"Japanese-Style, Role-Playing, Action RPG"
Pac-Man 256,PlayStation 4,"June 21, 2016",79,"Control Pac-Man as you devour pellets and ghosts in an endless maze, and you must continue moving forward as a wave of glitches follow and destroy you if they get too close. The game ends when you die, so getting as many points as possible is key.",6.9,E,HIPSTER WHALE,"Action, General, Arcade"
Trials Rising,PlayStation 4,"February 26, 2019",79,"Explore challenging tracks around the world, from Yellowstone Park to the peaks of Mt. Everest and everywhere in between. New Tandem Bike mode allows two riders to control one bike. Hone your racing skills and level up from local backyard competitions to stadium races. Make a statement with customizable outfits and bike skins.",6.5,T,RedLynx,"Racing, Arcade, Automobile"
Alienation,PlayStation 4,"April 26, 2016",79,"Unleash a devastating array of conventional, hybrid and Alien weaponry and eliminate the Alien masses with extreme firepower in massively destructible environments where collateral damage can literally bring the house down.",7.8,M,Housemarque,"Sci-Fi, Action, Shooter, Third-Person, Arcade"
Hand of Fate,PlayStation 4,"February 17, 2015",79,"In Hand of Fate, players collect equipment, items, artifacts and enemies as in-game collectible cards in a card based RPG; then play their deck, bringing to video game life a beautiful 3D world in which gamers make difficult decisions.  Sometimes their choices have unexpected consequences and players must crush their foes utilizing a third person action-adventure combat system. The more bosses a player defeats, the more cards they obtain.",7.8,T,Defiant Development,"Role-Playing, Miscellaneous, General, Board / Card Game"
Bleed 2,PlayStation 4,"February 6, 2018",79,"Bleed 2 is a relentless arcade action game featuring air-dodging, bullet-reflecting, and tons of bosses.",6.9,T,BootdiskRevolution,"Action, Platformer, 2D"
River City Girls,PlayStation 4,"September 5, 2019",79,"Kick butt, take names, and pound punks in this all-new installment of the classic co-op beat-'em-up series!

River City Girls stars Kyoko and Misako, two street-tough high-schoolers who must fight their way through the six regions of River City to rescue their kidnapped boyfriends, series mainstays Kunio and Riki. Along the way, they'll utilize an arsenal of combos, counters, throws, and special attacks; battle an assortment of enemies; accept numerous side quests; level up with experience points; interact with NPCs (including guest stars from past River City games); and shop for a variety of items, food, and gear to boost stats and unlock new abilities. The girls can even wield weapons and recruit defeated foes to join them in combat!

The one- or local two-player bare-knuckle brawling is complemented by spectacular 16-bit-style graphics and an epic synth-pop soundtrack (featuring NateWantsToBattle, Chipzel, Christina Vee, and Megan McDuffee!), while the story roars to life via glorious anime cutscenes and manga-style intermissions.

Key Features:
-Furious beat-'em-up action for one or two players!
-Stunning pixel-art graphics plus anime and manga cutscenes!
-Fantastic soundtrack featuring NateWantsToBattle, Chipzel, Christina Vee, and Megan McDuffee!
-Six large city regions to fight through, complete with shops and side quests!
-Loads of weapons, items, and abilities to power-up your heroines!
-Guest appearances by classic River City characters!",6.2,E10+,WayForward,"Action, Beat-'Em-Up, 2D"
Paper Beast,PlayStation 4,"March 24, 2020",79,Experience a dreamlike odyssey through a wild and simulated ecosystem. Take off on an adventure! Connect with exotic and surprising creatures. Shape the environment to solve puzzles. Or let your imagination guide you through an immersive sandbox.,7.4,E,Pixel Reef,"Adventure, General, Action Adventure, Sandbox"
FIFA 20,PlayStation 4,"September 24, 2019",79,"Enjoy more control over the Decisive Moments that determine the outcome of every match in FIFA 20. Pick your target and time it right from the spot. Add curl, dip, or knuckle to free kicks. A new aiming mechanic gives you more creativity from dead balls. Move with more agility. Lure the defender in. Beat them with speed or skill. New strafe dribbling adds new dimensions for attacking play in FIFA 20. Take back possession with Active Touch Tackling and new animations that reward you for well-timed defensive play. More clinical finishing when one-on-one. More risk with volleys and long shots. Overhauled shooting creates more realism in front of goal in FIFA 20. [Electronic Arts]",1.1,E,Electronic Arts,"Sports, Team, Soccer, Sim"
Wonder Boy: The Dragon's Trap,PlayStation 4,"April 18, 2017",79,"Boasting hand-drawn animations and a re-orchestrated soundtrack, the cult classic returns with a unique blend of exploration, action, and adventure.",7.7,E10+,Lizardcube,"Action Adventure, General"
Rival Megagun,PlayStation 4,"November 29, 2018",79,Transform into your Mega Gunship boss form to blast your rival head-on in this unique shooting game with a competitive twist.,tbd,E10+,Spacewave Software,"Action, Shooter, Shoot-'Em-Up, Vertical"
EA Sports UFC 2,PlayStation 4,"March 15, 2016",79,"A new physics-driven hit reaction and knockout system delivers more visceral KOs than before. Every knockout is now unique. Simultaneous two-fighter interaction brings the ground game to life with greater responsiveness and variety. Surprise your opponent with a flying armbar from the clinch, or with a quick transition from a knee bar to a heel hook. Standing submissions and submission chaining have been added.  Add an improved blocking and parrying system to the mix and you have new tools to fend off your opponent’s most devastating attacks.",5.8,T,EA Sports,"Sports, General, Individual, Combat, Boxing / Martial Arts"
WRC 8 FIA World Rally Championship,PlayStation 4,"September 10, 2019",79,"The most complete and authentic official WRC simulation yet. New physics for all surfaces, a completely redesigned career mode, dynamic weather conditions, 50 teams, 14 countries, 100 tracks, weekly challenges and an eSports mode.",6.0,E,Kylotonn,"Racing, Arcade, Automobile"
Tacoma,PlayStation 4,"May 8, 2018",79,"Tacoma is a narrative-driven adventure set aboard a high-tech space station in the year 2088. Explore every detail of how the station’s crew lived and worked, finding clues that add up to a gripping story of trust, fear, and resolve in the face of disaster.",6.6,M,Fullbright,"Adventure, General"
Call of Duty: WWII,PlayStation 4,"November 3, 2017",79,"Call of Duty returns to its roots with Call of Duty: WWII - a breathtaking experience that redefines World War II for a new gaming generation. Land in Normandy on D-Day and battle across Europe through iconic locations in historys most monumental war. Experience classic Call of Duty combat, the bonds of camaraderie, and the unforgiving nature of war against a global power throwing the world into tyranny.",4.5,M,Sledgehammer Games,"Action, Shooter, First-Person, Arcade"
Pinball FX3,PlayStation 4,"September 26, 2017",78,"Multiplayer matchups, user generated tournaments and league play create endless opportunity for pinball competition.",6.1,E10+,Zen Studios,"Action, Pinball"
ZEN Pinball 2: Balls of Glory,PlayStation 4,"October 20, 2015",78,"Balls of Glory combines four hit animated TV show properties: FAMILY GUY, AMERICAN DAD!, BOB’S BURGERS, and ARCHER, representing one epic pinball experience and features voice talent and sound effects from each hit TV show.",6.2,,Zen Studios,"Action, Pinball"
Detroit: Become Human,PlayStation 4,"May 25, 2018",78,"Inspired by the short called “Kara”, Detroit is a neo-noir thriller set in the near-future city of Detroit. Androids, who look exactly like human beings, have replaced humans in most tasks: they are workers, babysitters, gardeners, nurses, teachers, clerks. The story of Detroit starts with an unexplained incident that begins to affect the Androids. Some disappear without any explanation, others have unexpected behaviors and strangely show signs of emotions. The rumors of “deviant” androids start spreading, but no one seems to know what’s really happening... [Quantic Dream]",8.7,M,Quantic Dream,"Action Adventure, Open-World, Adventure, 3D, Third-Person"
EVERSPACE,PlayStation 4,"May 22, 2018",78,Everspace is an action-focused single-player space shooter combining roguelike elements with top-notch visuals and a captivating non-linear story.,6.0,T,ROCKFISH Games,"Simulation, Action Adventure, Space, Open-World, Combat"
NHL 17,PlayStation 4,"September 13, 2016",78,"NHL 17 introduces three new modes that connect you to the sport to live out your hockey fantasy. The new Draft Champions mode introduces the fantasy draft with fast rounds of superstar picks. For the first time in EA SPORTS NHL history, the World Cup of Hockey game mode lets you take to the ice on a global stage and compete with your national hockey heroes. The next generation of Be a GM introduces Franchise Mode where you answer directly to the owner and take total control of the team and the business, from fan concessions to promotional nights to the arena and city you compete in. NHL 17 also brings gameplay control over every inch of the ice. The new Net Battle system lets you fight for that critical space in front of the crease on offense and defense. Authentic goaltenders both look and play the part with true-to-life stances and smarter Reactionary Save Intelligence that lets goalies read and react with an athletic save or get big with the body to block the puck. Improved hitting, passing, puck pick-ups and skating let you own every zone and dozens of new goal celebrations bring the crowd to their feet making your biggest moments memorable. [Electronic Arts]",5.7,E10+,"EA Canada, EA Vancouver","Sports, Team, Ice Hockey, Sim"
A Way Out,PlayStation 4,"March 23, 2018",78,"The story of A Way Out begins in prison with two separate inmates, Leo and Vincent, who don’t know each other. While their individual stories progress, players have to build a relationship based on trust as they break both men out of prison into the world beyond. This co-op only experience is meant to be played together with a friend on a couch or online. A Way Out is a game uniquely tailored for two players to work together no matter the situation. Through a compelling narrative, Leo and Vincent will embark on an emotional adventure, where they live some memorable action moments that they face together including car chases, stealth passages, melee fights, shootouts and many more. [Electronic Arts]",8.0,M,Hazelight,"Action Adventure, General"
For Honor: Marching Fire,PlayStation 4,"October 16, 2018",78,"Join the fight as a Knight, Viking, Samurai, or Wu Lin Warrior, and fight for the survival of your people. Play in a variety of modes including PvP, story campaign, PvE, and co-op.",3.4,,Ubisoft,"Action Adventure, General"
Death Road to Canada,PlayStation 4,"May 8, 2018",78,"Death Road is built to deliver replay value. Everything is randomized: locations, events, survivor appearances, and personalities. There’s a different story every time you play, set in a world that doesn’t take itself too seriously.",5.9,T,Rocketcat Games,"Action, General"
Super Rude Bear Resurrection,PlayStation 4,"May 2, 2017",78,"Super Rude Bear Resurrection is an ultra-tight, masocore platformer that anyone can beat. Every time you die, your previous bodies stack up and you can jump on them, push them around and use them as shields. Each death makes the game slightly easier, but it’s possible to beat the whole game without dying at all. [Playstation.com]",5.0,T,Alex Rose,"Action, Platformer, 2D"
Borderlands 3,PlayStation 4,"September 13, 2019",78,"At the hard edge of the galaxy lies a group of planets ruthlessly exploited by militarized corporations. Brimming with loot and violence, this is your home – the Borderlands. Answering the call of the Siren champion Lilith, four Vault Hunters charge head-first into a spray of bullets, blood, and bandits to recover a map to ancient Vaults and prevent a universe-destroying power from falling into the wrong hands. The rest is history. Fearless renegade mercenaries on the wildest interplanetary treasure hunt of all time. FL4K is a wandering robotic tracker whose cold steel heart warms only for their pet beasts. Amara beats bad guys into pancakes with her psychic fists. Moze’s best friend is a 10-ton walking killing machine. And Zane, the semi-retired corporate hitman... well, he’s Zane.  Hunting Alone? No problem! Shoot and loot your way through the Borderlands, discovering the region’s untold stories and piling high your increasingly deadly cache of goodies and weapons. [2K Games]",5.7,M,Gearbox Software,"Action, Shooter, First-Person, Arcade"
King's Quest Chapter 5: The Good Knight,PlayStation 4,"October 25, 2016",78,"In his latest adventure, King Graham tells of his final battle with the Goblin Sorcerer Manannan and his final adventure.",5.3,E10+,The Odd Gentlemen,"Adventure, General"
Hatsune Miku: Project Diva X,PlayStation 4,"August 30, 2016",78,"Hatsune Miku is back and bigger than ever on the PlayStation 4 and PlayStation Vita in the upcoming rhythm game, Hatsune Miku: Project DIVA X . For those new to Project DIVA, it is an addictive core rhythm game starring the digital singer, Hatsune Miku. Project DIVA X is driven forward though a narrative which centers on Miku and her friends undertaking various requests as they explore the five Clouds that make up their world. For the Miku veterans, Project DIVA X has 30 songs and 300 modules (costumes) that get dropped. Illustration by KEI.",7.4,T,Sega,"Action, Rhythm, Music"
Overcooked!,PlayStation 4,"August 2, 2016",78,"Overcooked is a chaotic couch co-op cooking game for one to four players. Working as a team, you and your fellow chefs must prepare, cook, and serve up a variety of tasty orders before the baying customers storm out in a huff. [Playstation.com]",8.0,E,Ghost Town Games Ltd.,"Action, Simulation, Arcade, Virtual, Career"
Grand Kingdom,PlayStation 4,"June 21, 2016",78,"After the fall of the once-prosperous Uldein Empire over one hundred years ago, the Four Great Nations now wage war to claim dominion over the Resonail continent. Battles are no longer fought by honorable knights loyal to a nation, but by mercenaries who sell their services to the highest bidder. As the leader of a mercenary squad, the player will lead their troops across a battle-scarred continent, overcoming obstacles and adversaries as they complete quests doled out by each nation. In doing so, they will unravel the mystery behind the downfall of a mighty empire.",7.2,T,Spike Chunsoft,"Strategy, Turn-Based, Tactics"
Bridge Constructor Portal,PlayStation 4,"March 1, 2018",78,"Enter the Aperture Science Enrichment Center and experience Bridge Constructor Portal – the unique merging of the classic Portal and Bridge Constructor games. As a new employee in the Aperture Science test lab, it's your job to build bridges, ramps, slides, and other constructions in 60 test chambers and get the Bendies safely across the finish line in their vehicles. Make use of the many Portal gadgets, like portals, propulsion gel, repulsion gel, aerial faith plates, cubes, and more to bypass the sentry turrets, acid pools and laser barriers, solve switch puzzles, and make it through the test chambers unscathed. Let Ellen McLain, the original voice of GLaDOS, guide you through the tutorial, and learn all the tips and tricks that make a true Aperture Science employee. The bridge is a lie!",3.4,E10+,ClockStone Software,"Simulation, Virtual, Career"
For Honor,PlayStation 4,"February 14, 2017",78,"For Honor is a competitive third-person melee title which mixes speed, strategy and team play with close range combat. The Chosen has survived a thousand years of wandering the southern deserts. Their journey should have wiped them out hundreds of years ago, but they survived thanks to the skill set and focus of their heroes. These individuals hoe to lead their followers to an improbable victory and to establish a new homeland. Striking fear in their enemies, The Warborn warriors sail across the Boiling Sea to raid the southern coast. Known for their fire and passion, they will seek to drive their enemies out of their ancestral lands. On the shoulders of great heroes, The Legions have driven out invaders, conquered any who wouldn't join them, and established hundreds of others to defend what is theirs. Facing invasion on two fronts, these heroes fight to protect their lands form the heathens who would take it. [Ubisoft]",6.1,M,Ubisoft Montreal,"Action Adventure, General"
Forgotton Anne,PlayStation 4,"May 15, 2018",78,"Imagine a place where everything that is lost and forgotten goes; old toys, letters, single socks. The Forgotten Lands is a magical world inhabited by Forgotlings; creatures composed of mislaid objects longing to be remembered again. Forgotton Anne is a seamless cinematic adventure game with light puzzle platforming elements. You play as Anne, the enforcer who keeps order in the Forgotten Lands, as she sets out to quash a rebellion that might prevent her master, Bonku, and herself from returning to the human world... [Square Enix]",6.8,E10+,Throughline Games,"Adventure, General"
1001 Spikes,PlayStation 4,"June 3, 2014",78,"Aban Hawkins & the 1,001 Spikes is a 2D platformer where you have 1,001 lives to beat the game.",6.6,T,Nicalis,"Action, Platformer, Platformer, 2D, 2D"
Granblue Fantasy: Versus,PlayStation 4,"March 3, 2020",78,"In a world where adventurers roam the skies on airships, and the floating islands of the Skydoms lead their way, the Grandcypheran airship of massive proportionssets out on a magnificent journey, traveling the islands, and picking up a veritable army of sellswords, knights, and mages along the way However, these heroes of the sky will soon embark on a brand-new adventure, where battle and glory await!

An international mobile game hit, Granblue Fantasy has topped the charts, charming players across the globe with a plethora of lovable characters and story-driven mechanics. Now, legendary fighting game studio Arc System Works and Cygames are teaming up to bring the universe to home console in an action-packed head-to-head fighter. Featuring a colorful cast of their most popular ""crewmembers,"" each with a unique fighting style that is easy to learn but hard to master, Granblue Fantasy: Versus is sure to appeal to fans of Granblue lore and fighting games alike.

KEY FEATURES

* An Anime Fighter for Players of All Levels!
Arc System Works, the team behind critically-acclaimed fighting series BlazBlue, Guilty Gear, and Dragon Ball FighterZ, and Cygames, the people behind the international mobile phenomenon Granblue Fantasy, usher in a new era of fighting games with a rich and accessible battle system suitable for beginners and veterans alike.

* Fight as Your Favorite Granblue Characters!
A balanced and varied cast of combatants are ready to duke it out, each with their own individual fighting styles and dazzling skills. Whether it's the well-rounded Katalina, the long-range specialist Ferry, or the dual blade wielder Lancelot, there is a character and style to suit almost anyone's tastes.

* A Gorgeous 2.5D Style World, Accompanied by Memorable Melodies!
High production values recreate the well-known locales of the Granblue Fantasy universe in vivid 2.5D, bringing these environments to life as crewmembers cheer in the background, all accompanied by Stelle Magna's stirring soundtrack.

* Captivating Visuals, Designed by a Fantasy Expert!
Hideo Minaba of Final Fantasy series fame contributes as art director, lending his extraordinary talents and unforgettable character and world designs to the Granblue Fantasy universe!",6.3,T,Arc System Works,"Action, Fighting, 2D"
LEGO Star Wars: The Force Awakens,PlayStation 4,"June 28, 2016",78,"Experience untold adventures set before Star Wars: The Force Awakens through exclusive new story levels that takes place between Star Wars: Return of the Jedi and the new film. Play as all of the heroic characters from the movie, including Rey, Finn, Poe Dameron, Han Solo, Chewbacca, C-3PO, and BB-8, as well as Kylo Ren, General Hux and Captain Phasma, while exploring classic Star Wars locales, such as Jakku and Starkiller Base, and utilizing a multitude of vehicles along the way. [LEGO]",7.4,E10+,TT Games,"Action Adventure, General"
The Wonderful 101: Remastered,PlayStation 4,"May 19, 2020",78,"A team of heroes from around the world must UNITE to protect the earth from vicious alien invaders! This band of 100 Wonderful Ones works together using their fantastic abilities to create a variety of forms. Whether it be a giant fist or a sharp blade, they'll use their wits and power to overcome the enemy's pitfalls and perils! And the final member of this team of courageous heroes... is you.

Features:

* Over 100 unique and dazzling heroes, each with their own backstories and emblems!

* Change weapons in a flash with the 'Unite Morph' system! Draw shapes to switch between swords, whips, hammers, and more to battle with strategy and flair!

* Unite Morphs can be more than just weapons! Build hang gliders and bridges to cross chasms, and bounce and blast your way to great heights! Use your smarts as well as your strength to solve puzzles and persevere!

* Don't forget - a hero's true calling is protection! Rescue the citizens you come across and your bravery will inspire them to UNITE UP! For a limited time, of course.

* Your missions will take around the world! Through cities, across the ocean floor, deep in the jungle, and to a host of exciting locations!",6.3,T,PlatinumGames,"Action, General"
Unravel,PlayStation 4,"February 9, 2016",78,Yarny's mission is to mend broken bonds and the yarn represents the love and connection between people. The player will use Yarny's thread to do things such as swinging across gaps or rappelling down trees. Te game will also challenge gamers to use the thread in clever and creative ways. [Electronic Arts],8.1,E,Coldwood Interactive,"Action, Platformer, 2D"
Blasphemous,PlayStation 4,"September 10, 2019",78,"Blasphemous is a punishing action-platformer that combines the fast-paced, skilled combat of a hack-n-slash game with a deep and evocative narrative core, delivered through exploration of a huge universe comprised of non-linear levels.",7.7,M,The Game Kitchen,"Action Adventure, Open-World"
The Persistence VR,PlayStation 4,"July 24, 2018",78,"Caught in the inexorable pull of a black hole, and with the crew mutated into horrific and murderous aberrations, it’s down to you, a clone of security officer Zimri Eder, to save the ship and make the jump back to earth.",7.9,M,Firesprite,"Adventure, 3D, First-Person"
Life is Strange 2,PlayStation 4,"September 26, 2018",78,The long awaited sequel to the award winning Life is Strange returns with a new 5-part narrative adventure from DONTNOD Entertainment.,6.3,M,DONTNOD Entertainment,"Action Adventure, General"
Forma.8,PlayStation 4,"February 23, 2017",78,"In a distant future, the small exploration probe forma.8 is stranded alone on the surface of an alien planet. He got parted away from his companions by an accidental event and has a life or death mission to accomplish: he needs to find and recover a powerful energy source deep under the surface before itâ€™s too late. Ancient civilisations, great perils and dystopian visions awaits him, and not everything is as it seems...",5.4,E10+,MixedBag,"Action, Action Adventure, Platformer, Open-World, 2D"
Control: The Foundation,PlayStation 4,"March 26, 2020",78,"The Foundation Expansion includes new story content and side missions as well as new weapons and mods inspired by the Oldest House's mysterious origins. The Astral Plane is colliding with our reality. Jesse Faden, the Director of the Federal Bureau of Control, must travel through the caverns of the Foundation to prevent the Astral Plane from consuming the Oldest House. The missing Head of Operations, Helen Marshall, may hold some answers to the mysteries surrounding this threat...",6.0,M,Remedy Entertainment,"Action Adventure, General"
Mothergunship,PlayStation 4,"July 17, 2018",78,"MOTHERGUNSHIP mixes bullet-hell intensity with the shooting, customization, and traversal of the first-person genre. Fight your way through the alien fleets, facing randomized enemy and level mayhem as you clear rooms and take out some of the biggest bosses seen in the FPS genre.",5.3,T,Grip Digital,"Action, General"
NHL 16,PlayStation 4,"September 15, 2015",78,"Players who are drawn to team experiences can jump into either 6 v. 6 Online Team Play, Online Couch Co-op, or the EA SPORTS Hockey League, that’s been re-formulated to deliver a new player class system for a more competitive and balanced experience. Players who want to build their own legacy can dive into Be-A-Pro, which allows them to start their career in the minors and takes them through a new progression system where how they play on the ice shapes who they become in the NHL. And if players are more akin to armchair GMs, not only can they navigate the machinations of draft day and manage their AHL affiliate team, they can now also manage the morale of individual players on their team.",5.4,E10+,"EA Sports, EA Canada","Sports, Team, Ice Hockey, Sim"
Rock Band 4,PlayStation 4,"October 6, 2015",78,"Rock Band 4 offers the unique social play of a full band experience—featuring a next-gen microphone, wireless drums and guitar, and a revamped world tour campaign mode.  Add your personal signature to every performance. With Freestyle Guitar Solo, you can string together blistering licks and wow the crowd with your own incendiary solos.  With a soundtrack featuring some of the world's biggest acts, plus an ever-expanding catalog of over 1,500 playable songs, it’s easy to put together a keen set list.",6.4,T,Harmonix Music Systems,"Action, Rhythm, Music"
Dragon's Dogma: Dark Arisen,PlayStation 4,"October 3, 2017",78,"An epitaph speaks of another's demise...

A mysterious island known as Bitterblack Isle appears off the coast of Gransys. Its depths have claimed the lives of many Arisen their voices still haunt the labyrinth that lies deep beneath its surface--a labyrinth ripe with secrets waiting to be discovered.

The time to take up arms has come once again. Delve into the isle's depths and uncover its dark secret!",8.1,M,Capcom,"Role-Playing, Action RPG"
Don't Starve: Console Edition,PlayStation 4,"January 7, 2014",78,"Don't Starve is an uncompromising wilderness survival game full of science and magic.

You play as Wilson, an intrepid Gentleman Scientist who has been trapped by a demon and transported to a mysterious wilderness world. Wilson must learn to exploit his environment and its inhabitants if he ever hopes to escape and find his way back home.

Enter a strange and unexplored world full of strange creatures, dangers, and surprises. Gather resources to craft items and structures that match your survival style. Play your way as you unravel the mysteries of this strange land.",7.1,T,Klei Entertainment,"Action Adventure, Fantasy, General, Fantasy, Sandbox"
Atelier Lulua: The Scion of Arland,PlayStation 4,"May 21, 2019",78,Time is ticking in the world of Arland. The future of Arland is entrusted to this young girl. Lulua discovers a mysterious book and uncovers the hidden truth of Arland. Learn alchemy while discovering the mysteries of Lulua's homeland. Fan-favorite characters rejoin the fun. An enjoyable story and easy-to-learn mechanics welcome new and returning fans alike.,6.4,T,Koei Tecmo Games,"Role-Playing, Japanese-Style"
Super Cloudbuilt,PlayStation 4,"July 25, 2017",78,"Assme the role of Demi, a young soldier who wakes up in the empty shell of a ruined building, in a strange new world, disconnected from her old life and physical body. With each new challenge she overcomes, Demi slowly pieces together the future now laid out before her.",6.6,T,"Coilworks, Double Eleven","Action Adventure, General"
